Date,SP500,SP500_%Change
1997/5/30,848.28,0.497583167
1997/6/2,846.36,-0.226340359
1997/6/3,845.48,-0.103974668
1997/6/4,840.11,-0.635142168
1997/6/5,843.43,0.395186345
1997/6/6,858.01,1.728655609
1997/6/9,862.91,0.571088915
1997/6/10,865.27,0.27349318
1997/6/11,869.57,0.496954708
1997/6/12,883.48,1.599641202
1997/6/13,893.27,1.108117897
1997/6/16,893.9,0.070527388
1997/6/17,894.42,0.058172055
1997/6/18,889.06,-0.599271036
1997/6/19,897.99,1.004431647
1997/6/20,898.7,0.079065468
1997/6/23,878.62,-2.234338489
1997/6/24,896.34,2.016799071
1997/6/25,888.99,-0.820001339
1997/6/26,883.68,-0.597307056
1997/6/27,887.3,0.409650552
1997/6/30,885.14,-0.24343514
1997/7/1,891.03,0.665431457
1997/7/2,904.03,1.458985668
1997/7/3,916.92,1.425837638
1997/7/7,912.2,-0.514766828
1997/7/8,918.75,0.718044289
1997/7/9,907.54,-1.220136054
1997/7/10,913.78,0.687573
1997/7/11,916.68,0.317363041
1997/7/14,918.38,0.185451848
1997/7/15,925.76,0.803588928
1997/7/16,936.59,1.169849637
1997/7/17,931.61,-0.531716119
1997/7/18,915.3,-1.750732603
1997/7/21,912.94,-0.25783896
1997/7/22,933.98,2.304642145
1997/7/23,936.56,0.276237179
1997/7/24,940.3,0.399333732
1997/7/25,938.79,-0.160587047
1997/7/28,936.45,-0.249257022
1997/7/29,942.29,0.623631801
1997/7/30,952.29,1.061244415
1997/7/31,954.29,0.210020057
1997/8/1,947.14,-0.749248132
1997/8/4,950.3,0.333635999
1997/8/5,952.37,0.21782595
1997/8/6,960.32,0.8347596
1997/8/7,951.19,-0.950724758
1997/8/8,933.54,-1.855570391
1997/8/11,937,0.370632217
1997/8/12,926.53,-1.117395945
1997/8/13,922.02,-0.486762436
1997/8/14,924.77,0.298258172
1997/8/15,900.81,-2.590914498
1997/8/18,912.49,1.296610828
1997/8/19,926.01,1.481660073
1997/8/20,939.35,1.440589195
1997/8/21,925.05,-1.52232927
1997/8/22,923.55,-0.162153397
1997/8/25,920.16,-0.367061881
1997/8/26,913.02,-0.775952008
1997/8/27,913.7,0.074478106
1997/8/28,903.67,-1.097734486
1997/8/29,899.47,-0.464771432
1997/9/2,927.58,3.125173713
1997/9/3,927.86,0.030186076
1997/9/4,930.87,0.324402388
1997/9/5,929.05,-0.195516023
1997/9/8,931.2,0.231419192
1997/9/9,933.62,0.259879725
1997/9/10,919.03,-1.562734303
1997/9/11,912.59,-0.700738822
1997/9/12,923.91,1.240425602
1997/9/15,919.77,-0.448095594
1997/9/16,945.64,2.812659687
1997/9/17,943,-0.279176008
1997/9/18,947.29,0.454931071
1997/9/19,950.51,0.339917026
1997/9/22,955.43,0.517616858
1997/9/23,951.93,-0.366327203
1997/9/24,944.48,-0.782620571
1997/9/25,937.91,-0.695620871
1997/9/26,945.22,0.779392479
1997/9/29,953.34,0.859059267
1997/9/30,947.28,-0.63565989
1997/10/1,955.41,0.85824677
1997/10/2,960.46,0.528568887
1997/10/3,965.03,0.475813673
1997/10/6,972.69,0.793757707
1997/10/7,983.12,1.072284078
1997/10/8,973.84,-0.943933599
1997/10/9,970.62,-0.330649799
1997/10/10,966.98,-0.37501803
1997/10/13,968.1,0.115824526
1997/10/14,970.28,0.225183349
1997/10/15,965.72,-0.469967432
1997/10/16,955.23,-1.086236176
1997/10/17,944.16,-1.158883201
1997/10/20,955.61,1.212718183
1997/10/21,972.28,1.744435491
1997/10/22,968.49,-0.389805406
1997/10/23,950.69,-1.837912627
1997/10/24,941.64,-0.95194017
1997/10/27,876.99,-6.865681152
1997/10/28,921.85,5.115223663
1997/10/29,919.16,-0.291804524
1997/10/30,903.68,-1.684146395
1997/10/31,914.62,1.210605524
1997/11/3,938.99,2.664494544
1997/11/4,940.76,0.18850041
1997/11/5,942.76,0.212594073
1997/11/6,938.03,-0.501718359
1997/11/7,927.51,-1.121499312
1997/11/10,921.13,-0.687863204
1997/11/11,923.78,0.28769012
1997/11/12,905.96,-1.929030722
1997/11/13,916.66,1.181067597
1997/11/14,928.35,1.275282002
1997/11/17,946.2,1.922766198
1997/11/18,938.23,-0.842316635
1997/11/19,944.59,0.677872164
1997/11/20,958.98,1.523412274
1997/11/21,963.09,0.428580367
1997/11/24,946.67,-1.704928927
1997/11/25,950.82,0.438378738
1997/11/26,951.64,0.08624135
1997/11/28,955.4,0.395107394
1997/12/1,974.78,2.028469751
1997/12/2,971.68,-0.318020476
1997/12/3,976.77,0.523835007
1997/12/4,973.1,-0.375728165
1997/12/5,983.79,1.098551023
1997/12/8,982.37,-0.144339747
1997/12/9,975.78,-0.670826674
1997/12/10,969.79,-0.61386788
1997/12/11,954.94,-1.531259345
1997/12/12,953.39,-0.162313863
1997/12/15,963.39,1.048888702
1997/12/16,968.04,0.48267057
1997/12/17,965.54,-0.258253791
1997/12/18,955.3,-1.06054643
1997/12/19,946.78,-0.891866429
1997/12/22,953.7,0.730898414
1997/12/23,939.13,-1.527734088
1997/12/24,932.7,-0.684676243
1997/12/26,936.46,0.403130696
1997/12/29,953.35,1.803600794
1997/12/30,970.84,1.834583311
1997/12/31,970.43,-0.04223147
1998/1/2,975.04,0.475047144
1998/1/5,977.07,0.208196587
1998/1/6,966.58,-1.073618062
1998/1/7,964,-0.266920483
1998/1/8,956.05,-0.824688797
1998/1/9,927.69,-2.966372052
1998/1/12,939.21,1.241794134
1998/1/13,952.12,1.37455947
1998/1/14,957.94,0.611267487
1998/1/15,950.73,-0.752656743
1998/1/16,961.51,1.133865556
1998/1/20,978.6,1.777412611
1998/1/21,970.81,-0.796035152
1998/1/22,963.04,-0.800362584
1998/1/23,957.59,-0.565916265
1998/1/26,956.95,-0.066834449
1998/1/27,969.02,1.261298918
1998/1/28,977.46,0.870983055
1998/1/29,985.49,0.821516993
1998/1/30,980.28,-0.528671016
1998/2/2,1001.27,2.141224956
1998/2/3,1006,0.472400052
1998/2/4,1006.9,0.089463221
1998/2/5,1003.54,-0.333697487
1998/2/6,1012.46,0.888853459
1998/2/9,1010.74,-0.169883255
